domain,num accounts
beforeitsnews.com,10
wakingtimes.com,10
ronpaulinstitute.org,19
worldtruth.tv,6
breitbart.com,3
21stcenturywire.com,12
collective-evolution.com,11
activistpost.com,16
dcclothesline.com,7
rubikon.news,18
intellihub.com,14
presstv.com,16
zerohedge.com,13
ukcolumn.org,16
