,Article URL,total_freq,Final URL,Status Code,Redirect
1064,https://ftsnautodesk.wordpress.com/2017/06/21/gruesome-video-shows-oscar-winning-white-helmets-beheading-dumping-syrian-army-bodies/,2.0,https://ftsnautodesk.wordpress.com/2017/06/21/gruesome-video-shows-oscar-winning-white-helmets-beheading-dumping-syrian-army-bodies/,200,False
1065,https://www.madata.gr/epikairotita/world/571488.html,1.0,https://www.madata.gr/epikairotita/world/571488.html,200,False
1066,https://www.nytimes.com/2017/06/06/world/middleeast/omran-daqneesh-syria-aleppo.html,2.0,https://www.nytimes.com/2017/06/06/world/middleeast/omran-daqneesh-syria-aleppo.html,200,False
1067,http://puisina.blogspot.com/,1.0,https://puisina.blogspot.com/,200,True
1068,https://peoplestrusttoronto.wordpress.com/2017/08/18/mainstream-media-weeps-for-dead-white-helmets-terrorists-cries-for-nusra/,1.0,https://peoplestrusttoronto.wordpress.com/2017/08/18/mainstream-media-weeps-for-dead-white-helmets-terrorists-cries-for-nusra/,410,False
1069,https://news360.com/article/416131510,1.0,https://sputniknews.com/middleeast/201708181056582002-syria-aleppo-white-helmets/,200,True
1070,http://www.kaos.gr/2017/07/moscow-white-helmets-participate-in.html?spref=tw,1.0,https://www.kaos.gr/2017/07/moscow-white-helmets-participate-in.html?spref=tw,200,True
1071,http://www.independent.co.uk/voices/syrian-war-ending-bashar-al-assad-won-robert-fisk-syria-middle-east-israel-british-troops-a7933966.html,3.0,http://www.independent.co.uk/voices/syrian-war-ending-bashar-al-assad-won-robert-fisk-syria-middle-east-israel-british-troops-a7933966.html,404,False
1072,https://www.activistpost.com/2017/01/white-helmets-solidarity-with-al-qaeda-hold-citizens-hostage-in-damascus-with-no-water.html,4.0,https://www.activistpost.com/2017/01/white-helmets-solidarity-with-al-qaeda-hold-citizens-hostage-in-damascus-with-no-water.html,403,False
1073,https://www.researchgate.net/publication/319472716_Power_Petroleum_and_Propaganda_Identifying_the_role_of_the_White_Helmets_in_the_Syrian_Civil_War,6.0,https://www.researchgate.net/directory/publications,200,True
1074,http://beforeitsnews.com/alternative/2017/05/white-helmets-syria-ngo-complex-and-corporate-media-responsibility-for-starting-wars-3517234.html,7.0,https://beforeitsnews.com/alternative/2017/05/white-helmets-syria-ngo-complex-and-corporate-media-responsibility-for-starting-wars-3517234.html,200,True
1075,https://www.google.com/url?rct=j&sa=t&url=http://www.newsweek.com/oscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407&ct=ga&cd=CAIyGjExMjM2ODhjYzgxYjNjMjQ6Y29tOmVuOlVT&usg=AFQjCNG6bbdf5cWbqi0Lvz2cpG84C76a_w,1.0,https://www.google.com/url?rct=j&sa=t&url=http://www.newsweek.com/oscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407&ct=ga&cd=CAIyGjExMjM2ODhjYzgxYjNjMjQ6Y29tOmVuOlVT&usg=AFQjCNG6bbdf5cWbqi0Lvz2cpG84C76a_w,200,False
1076,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=46OQWfDjGIfN3QH014-4CQ&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20,1.0,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=46OQWfDjGIfN3QH014-4CQ&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20&hl=en-US&gl=US&ceid=US:en,200,True
1077,http://thefreethoughtproject.com/white-helmets-dumping-syrian-soldier-bodies/,70.0,http://thefreethoughtproject.com/white-helmets-dumping-syrian-soldier-bodies/,200,False
1078,https://www.almasdarnews.com/article/eu-sanctions-popular-syrian-general-chemical-weapons-attack/,1.0,https://www.almasdarnews.com/article/eu-sanctions-popular-syrian-general-chemical-weapons-attack/,200,False
1079,http://www.pbs.org/,18.0,https://www.pbs.org/,200,True
