USER,FOLLOWERS,USERTYPE
maturban1,172.0,1.0
pavlos098,175.0,1.0
beingbiko,177.0,1.0
hanysalaheldeen,184.0,1.0
ijdl,185.0,1.0
OpenMaze,186.0,1.0
BrenMckinley,188.0,1.0
becerratops,188.0,1.0
johnaberlin,189.0,1.0
Seekjesusnow,189.0,1.0
ShanaJones71,192.0,1.0
helgeho,192.0,1.0
jackieinva,195.0,1.0
ptrourke,198.0,1.0
Data_Together,199.0,1.0
wospworkshop,201.0,1.0
yasithmilinda,203.0,1.0
mqbarrett,206.0,1.0
LanaAlsabbagh,206.0,1.0
MyriamCTraub,206.0,1.0
Marcumlau,209.0,1.0
jcdl2017,214.0,1.0
joannafinegan,215.0,1.0
PoppaTiger1,217.0,1.0
vinaygo,219.0,1.0
this_phillips,220.0,1.0
TicksRock,220.0,1.0
TirthankarSlg,222.0,1.0
rsko83,236.0,1.0
ODUmlis,243.0,1.0
aheshamSalem,244.0,1.0
JimSaiya,248.0,1.0
emilymaemura,250.0,1.0
DrDanetteAllen,251.0,1.0
yvesmaurer,260.0,1.0
SaraSprenkle,260.0,1.0
JCDLConf,267.0,1.0
LittlePeteHX853,268.0,1.0
jcdl2013,276.0,1.0
unmil,278.0,1.0
danniethedelta,280.0,1.0
hstrelecki,280.0,1.0
samy_tawab,281.0,1.0
GetDownODU,284.0,1.0
athurman,285.0,1.0
sticledis,285.0,1.0
mllegena,293.0,1.0
LizzyInfo101,295.0,1.0
BelaGipp,298.0,1.0
JamesWi47315107,299.0,1.0
CanuckDee2,309.0,1.0
EgglestonChad,312.0,1.0
justinfbrunelle,313.0,1.0
SamVFritz,317.0,1.0
erikaris,319.0,1.0
mjgengenbach,329.0,1.0
ShuiwangJi,332.0,1.0
adammo,340.0,1.0
kaiec,342.0,1.0
ODUSCI,352.0,1.0
Mahmoud_Banna,355.0,1.0
acnwala,357.0,1.0
oducs,359.0,1.0
mhdfadhil,359.0,1.0
d_anubrata,362.0,1.0
NancyAjarmeh,363.0,1.0
DanKerchner,363.0,1.0
pdillulio,364.0,1.0
mayank_iitgn,372.0,1.0
stevesunypoly,375.0,1.0
fadlan_anam,375.0,1.0
4tykhonov,383.0,1.0
ODUVMASC,385.0,1.0
aalsum,386.0,1.0
technelily,391.0,1.0
EWAConf,396.0,1.0
Michael21870514,405.0,1.0
FFuqiang,409.0,1.0
fmccown,410.0,1.0
BrianAcomedian,415.0,1.0
artlibrariannyc,421.0,1.0
acm_ictir,427.0,1.0
mousta,429.0,1.0
jasonhcook,430.0,1.0
weiglemc,432.0,0.0
AntalGP,437.0,1.0
diskretewerte,450.0,1.0
maherzog,457.0,1.0
yasmina_anwar,461.0,1.0
pixprin,465.0,1.0
TheDevsNetwork,467.0,1.0
mpmorillo,468.0,1.0
FredericikB,469.0,1.0
Lmalongo2,481.0,1.0
mandyemcmichael,491.0,1.0
bobcatsss2019,494.0,1.0
DavidGotz,503.0,1.0
jimmy_ecker,517.0,1.0
nanopub_org,527.0,1.0
matthias_hagen,546.0,1.0
ScHealyire,548.0,1.0
e_mccain,550.0,1.0
jasminemulliken,552.0,1.0
shawnmjones,559.0,1.0
StyufV,565.0,1.0
theenneaproject,571.0,1.0
kaskekanke,577.0,1.0
UCampusODU,584.0,1.0
wfpsb,586.0,1.0
WebSciDL,586.0,1.0
IlyaKreymer,587.0,1.0
japharl,606.0,1.0
bindonlane,607.0,1.0
_aniketpasalkar,622.0,1.0
machawk1,624.0,1.0
