483,5
528,1384
3,1
3,2
4,1
2091,49
4,4
4,5
8,1
185,196
3,12
177,2
85,3
207,2
3,5
6,9
3,1
216,4252
8535,8891
3,1
18,16
736,6
3,2
3,2
9,1
1181,7
5224,10000
47,3
3,2
4,4
3,5
185,17
3,8
3,15
788,100
3865,104
3,1
209,53
141,32
3,20
11,15
3,2
34,9
4,1
8,12
3879,1373
4,4
255,19009
9,8
4,1
3,1
3,2
8,1
3,17
273,374
6946,518
3,4
3,15
6,3
3,2
4,8
4,2
3,2
3,1
65,39
137,5
133,1
195,4
11,5
559,6
205,733
4,1
3,1
3,1
4,2
17,15
193,7
3,1
9,19
5224,9827
5,18
211,4
3,1
194,47
3,21
3,1
561,12
4,18
396,10023
3,2
3,3
296,144
934,43
5,9
3,1
219,161
5,4
2152,84
5058,190
5,8
4689,617
6,1
4,3
4090,18
4411,2248
3,1
4,3
4,59
4,7
5,2
2655,126
90,2
4,4
25,3
4,2
163,5
1373,10
3,1
3,1
3,3
4,1
3,1
4,1
4,4
4,5
3,1
3,5
3,1
5,6
4,2
84,25
15,3
5,12
4,7
4,5
2172,183
125,5
4,6
257,40
4,3
2011,21
187,40
113,3
27,18
729,2137
4,1
4,4
4,2
4,5
11,34
4,5
130,19
3,1
4,3
4,11
182,8
112,4
5,25
8696,25422
3,1
104,2
4,6
5,1
3,1
8154,2765
4,12
211,31
234,522
253,375
4,13
3,1
13,4
181,10
795,13
8591,27056
17,38
225,71
25,3
3,1
218,60
9,11
7,296
3,2
10,47
85,9
212,3
185,3
89,4
41,1
110,1
4,1
68,255
169,2
3,2
113,17
4,1
4,1
3,1
6,2
123,2
9,9
167,2
3,1
83,5
902,5
3,1
198,31
3,1
6,9
4511,218
91,15
4,2
3,1
204,6
6,1
175,2
497,129
3,1
23,1
122,17
4,2
4,4
23,2
4,1
3,1
54,90
4,7
130,66
12,3
4,3
3,1
4,1
4,9
122,3
4,3
5,2
204,85
4,2
114,12
4,2
4,2
4,1
4,1
6,53
3,1
5,9
9,1
6,6
6,21
5,3
3,1
4,15
4,5
41,2
201,1193
4,1
205,43
249,195
86,5
5,9
98,3
79,142
981,8
54,3
80,4
3540,127
10,3
3,2
27,1
5,3
116,1
120,18
4,1
788,100
3,1
788,100
37,2
5,2
4,1
11,1
5,4
3,1
18,49
3,1
6,7
4,2
788,100
3,1
79,44
54,18
4,5
170,3
3,2
18,5
4,3
3,2
3,1
3,2
4,3
85,3
3,1
3,2
7,6
1700,33
4,1
9,6
3242,8
4,2
4,1
7248,36519
4,9
5,1
4,1
103,3
4,2
4,6
60,4
1004,47
8,2
10,14
5,3
5,1
3691,57483
8,1
867,61
5,5
5,1
110,71
4,1
7,1
9,7
8,9
4,6
4,5
39,1
66,2
2704,29
519,21290
4,10
4,1
5,53
6,4
4,3
4,4
4,2
5,2
